index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.41229236,51.49033257,161.88,24.336,-1.00,-98.00,-10.00,7.404915,51.488829,1845.000000
1,7.41242188,51.49035707,162.54,27.54,-1.00,-101.00,-12.00,7.404915,51.488829,1845.000000
2,7.41255103,51.49037504,162.67,30.852,-1.00,-101.00,-12.00,7.404915,51.488829,1845.000000
3,7.41271635,51.49039838,162.96,36.288,5.00,-94.00,-9.00,7.404915,51.488829,1845.000000
4,7.41286530,51.49041659,162.87,38.628,5.00,-94.00,-9.00,7.404915,51.488829,1845.000000
5,7.41301302,51.49043878,162.82,39.348,1.00,-98.00,-8.00,7.404915,51.488829,1845.000000
6,7.41314320,51.49045587,162.83,40.284,1.00,-98.00,-8.00,7.404915,51.488829,1845.000000
7,7.41330992,51.49047383,162.96,41.976,-2.00,-94.00,-9.00,7.404915,51.488829,1845.000000
8,7.41347543,51.49048857,162.53,42.084,-2.00,-94.00,-9.00,7.404915,51.488829,1845.000000
9,7.41365001,51.49050542,161.89,42.012,-2.00,-94.00,-9.00,7.404915,51.488829,1845.000000
10,7.41381542,51.49052130,161.41,42.48,-1.00,-99.00,-9.00,7.404915,51.488829,1845.000000
11,7.41398107,51.49053772,161.06,42.84,-1.00,-99.00,-9.00,7.404915,51.488829,1845.000000
12,7.41414789,51.49055744,160.73,43.272,-3.00,-101.00,-11.00,7.404915,51.488829,1845.000000
13,7.41432973,51.49057934,160.46,44.1,-3.00,-101.00,-11.00,7.404915,51.488829,1845.000000
14,7.41451214,51.49060041,160.09,44.316,-3.00,-101.00,-13.00,7.404915,51.488829,1845.000000
15,7.41468598,51.49062140,159.76,44.244,-3.00,-101.00,-13.00,7.404915,51.488829,1845.000000
16,7.41483936,51.49063546,159.64,44.316,-6.00,-103.00,-17.00,7.404915,51.488829,1845.000000
17,7.41500503,51.49065218,159.31,43.488,-6.00,-103.00,-17.00,7.404915,51.488829,1845.000000
18,7.41518563,51.49066741,158.66,43.092,-9.00,-97.00,-14.00,7.422924,51.489614,1845.000000
19,7.41534883,51.49067880,158.19,42.876,-9.00,-97.00,-14.00,7.422924,51.489614,1845.000000
20,7.41552408,51.49069102,157.29,42.336,-2.00,-97.00,-12.00,7.422924,51.489614,1845.000000
21,7.41570457,51.49069883,156.16,41.364,-2.00,-97.00,-12.00,7.422924,51.489614,1845.000000
22,7.41585823,51.49069864,155.47,40.212,0.00,-100.00,-13.00,7.422924,51.489614,1845.000000
23,7.41600008,51.49069278,155.14,38.34,0.00,-100.00,-13.00,7.422924,51.489614,1845.000000
24,7.41615430,51.49068640,155.06,35.388,3.00,-98.00,-12.00,7.422924,51.489614,1845.000000
25,7.41629695,51.49067611,155.17,31.068,3.00,-98.00,-12.00,7.422924,51.489614,1845.000000
26,7.41642755,51.49066305,155.49,27.72,7.00,-94.00,-12.00,7.422924,51.489614,1845.000000
27,7.41655557,51.49064805,155.50,28.332,7.00,-94.00,-12.00,7.422924,51.489614,1845.000000
28,7.41668750,51.49062751,155.68,28.872,5.00,-96.00,-12.00,7.422924,51.489614,1845.000000
29,7.41680518,51.49060375,156.11,27.72,5.00,-96.00,-12.00,7.422924,51.489614,1845.000000
30,7.41690924,51.49058102,156.66,28.548,5.00,-96.00,-12.00,7.422924,51.489614,1845.000000
31,7.41701921,51.49055932,157.02,29.124,4.00,-96.00,-12.00,7.422924,51.489614,1845.000000
32,7.41709691,51.49056437,157.20,22.356,4.00,-96.00,-12.00,7.422924,51.489614,1845.000000
33,7.41715532,51.49059158,157.09,23.076,3.00,-96.00,-11.00,7.422924,51.489614,1845.000000
34,7.41719246,51.49063788,156.91,23.976,3.00,-96.00,-11.00,7.422924,51.489614,1845.000000
35,7.41719774,51.49070410,156.75,25.92,5.00,-96.00,-12.00,7.422924,51.489614,1845.000000
36,7.41718808,51.49077183,156.57,26.784,5.00,-96.00,-12.00,7.422924,51.489614,1845.000000
37,7.41717044,51.49084666,156.62,27.756,13.00,-85.00,-11.00,7.422924,51.489614,1845.000000
38,7.41714713,51.49092988,156.75,32.58,13.00,-85.00,-11.00,7.422924,51.489614,1845.000000
39,7.41712368,51.49101814,156.75,33.768,13.00,-89.00,-11.00,7.422924,51.489614,1845.000000
40,7.41709574,51.49111476,156.51,35.928,13.00,-89.00,-11.00,7.422924,51.489614,1845.000000
41,7.41706073,51.49121366,156.38,37.368,11.00,-82.00,-11.00,7.422924,51.489614,1845.000000
42,7.41702410,51.49130657,156.02,37.584,11.00,-82.00,-11.00,7.422924,51.489614,1845.000000
43,7.41699088,51.49139841,155.76,37.188,9.00,-92.00,-12.00,7.422924,51.489614,1845.000000
44,7.41695256,51.49148506,155.52,37.152,9.00,-92.00,-12.00,7.422924,51.489614,1845.000000
45,7.41692165,51.49157443,154.96,37.08,2.00,-100.00,-14.00,7.422924,51.489614,1845.000000
46,7.41688000,51.49166053,154.72,36.792,2.00,-100.00,-14.00,7.422924,51.489614,1845.000000
47,7.41683422,51.49175336,154.60,36.288,-1.00,-100.00,-13.00,7.422924,51.489614,1845.000000
48,7.41678311,51.49185197,154.67,35.64,-1.00,-100.00,-13.00,7.422924,51.489614,1845.000000
49,7.41672613,51.49194103,155.08,36.18,-2.00,-102.00,-14.00,7.422924,51.489614,1845.000000
50,7.41666846,51.49201184,155.52,36.54,-2.00,-102.00,-14.00,7.422924,51.489614,1845.000000
51,7.41661378,51.49208264,155.78,37.296,-2.00,-102.00,-14.00,7.422924,51.489614,1845.000000
52,7.41653343,51.49217455,155.88,39.312,-3.00,-101.00,-14.00,7.422924,51.489614,1845.000000
53,7.41645258,51.49226722,156.04,41.364,-3.00,-101.00,-14.00,7.422924,51.489614,1845.000000
54,7.41637202,51.49235987,155.83,44.532,-3.00,-102.00,-14.00,7.422924,51.489614,1845.000000
55,7.41629925,51.49245581,155.43,45.36,-3.00,-102.00,-14.00,7.422924,51.489614,1845.000000
56,7.41622607,51.49256685,155.12,44.784,-3.00,-101.00,-14.00,7.422924,51.489614,1845.000000
57,7.41617248,51.49266877,154.83,43.74,-3.00,-101.00,-14.00,7.422924,51.489614,1845.000000
58,7.41612078,51.49279080,154.67,46.98,-3.00,-101.00,-14.00,7.422924,51.489614,1845.000000
59,7.41608645,51.49289016,154.98,43.632,-3.00,-101.00,-14.00,7.422924,51.489614,1845.000000
60,7.41606187,51.49299466,155.05,45.684,-1.00,-106.00,-14.00,7.422924,51.489614,1845.000000
61,7.41603368,51.49310848,154.88,45.684,-1.00,-106.00,-14.00,7.422924,51.489614,1845.000000
62,7.41599892,51.49322893,154.27,45,-4.00,-105.00,-15.00,7.422924,51.489614,1845.000000
63,7.41596518,51.49334198,153.76,43.308,-4.00,-105.00,-15.00,7.422924,51.489614,1845.000000
64,7.41593132,51.49344450,153.22,42.948,-3.00,-106.00,-13.00,7.422924,51.489614,1845.000000
65,7.41589667,51.49355027,152.90,43.272,-3.00,-106.00,-13.00,7.422924,51.489614,1845.000000
66,7.41586074,51.49365567,152.66,43.164,-1.00,-97.00,-12.00,7.422924,51.489614,1845.000000
67,7.41582185,51.49376608,152.34,44.136,-1.00,-97.00,-12.00,7.422924,51.489614,1845.000000
68,7.41578092,51.49387026,151.96,43.236,-2.00,-107.00,-14.00,7.422924,51.489614,1845.000000
69,7.41574278,51.49397274,151.43,42.372,-2.00,-107.00,-14.00,7.422924,51.489614,1845.000000
70,7.41569684,51.49407672,150.99,41.472,-6.00,-112.00,-18.00,7.422924,51.489614,1845.000000
71,7.41565318,51.49417070,150.71,37.008,-6.00,-112.00,-18.00,7.422924,51.489614,1845.000000
72,7.41562201,51.49424328,150.64,27.432,-6.00,-112.00,-18.00,7.422924,51.489614,1845.000000
73,7.41560055,51.49430173,150.78,23.4,-3.00,-99.00,-13.00,7.405212,51.498654,850.000000
74,7.41557524,51.49434706,151.69,19.116,-3.00,-99.00,-13.00,7.405212,51.498654,850.000000
75,7.41555651,51.49437477,151.80,13.5,-2.00,-99.00,-14.00,7.405212,51.498654,850.000000
76,7.41554606,51.49438684,151.94,4.032,-2.00,-99.00,-14.00,7.405212,51.498654,850.000000
77,7.41554606,51.49438684,151.96,0,-3.00,-95.00,-14.00,7.405212,51.498654,850.000000
78,7.41554606,51.49438684,151.98,0,-3.00,-95.00,-14.00,7.405212,51.498654,850.000000
79,7.41554606,51.49438684,152.00,0,-4.00,-100.00,-15.00,7.405212,51.498654,850.000000
80,7.41554606,51.49438684,152.02,0,-4.00,-100.00,-15.00,7.405212,51.498654,850.000000
81,7.41554606,51.49438684,152.04,0,-4.00,-99.00,-15.00,7.405212,51.498654,850.000000
82,7.41554606,51.49438684,152.07,0,-4.00,-99.00,-15.00,7.405212,51.498654,850.000000
83,7.41554606,51.49438684,152.09,0,-5.00,-97.00,-14.00,7.414898,51.503450,850.000000
84,7.41554606,51.49438684,152.12,0,-5.00,-97.00,-14.00,7.414898,51.503450,850.000000
85,7.41554606,51.49438684,152.15,0,-7.00,-99.00,-15.00,7.414898,51.503450,850.000000
86,7.41554606,51.49438684,152.18,0,-7.00,-99.00,-15.00,7.414898,51.503450,850.000000
