index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.48806642,51.44804119,259.79,50.616,0.00,-124.00,-12.00,7.485975,51.441898,1845.000000
1,7.48802195,51.44792093,260.12,50.148,0.00,-124.00,-12.00,7.485975,51.441898,1845.000000
2,7.48797520,51.44780063,260.00,46.044,15.00,-96.00,-7.00,7.485975,51.441898,1845.000000
3,7.48793559,51.44768929,260.05,45.396,15.00,-96.00,-7.00,7.485975,51.441898,1845.000000
4,7.48790828,51.44757891,259.97,42.3,14.00,-98.00,-9.00,7.485975,51.441898,1845.000000
5,7.48788567,51.44746156,259.96,45.324,14.00,-98.00,-9.00,7.485975,51.441898,1845.000000
6,7.48787829,51.44734159,259.91,45.756,18.00,-95.00,-7.00,7.485975,51.441898,1845.000000
7,7.48788712,51.44721308,259.87,46.368,18.00,-95.00,-7.00,7.485975,51.441898,1845.000000
8,7.48790750,51.44709976,260.17,46.584,11.00,-96.00,-6.00,7.485975,51.441898,1845.000000
9,7.48794036,51.44697902,260.59,47.736,11.00,-96.00,-6.00,7.485975,51.441898,1845.000000
10,7.48798905,51.44685656,260.86,47.772,13.00,-100.00,-7.00,7.485975,51.441898,1845.000000
11,7.48804972,51.44673457,261.09,47.556,13.00,-100.00,-7.00,7.485975,51.441898,1845.000000
12,7.48811562,51.44662319,261.53,48.276,11.00,-98.00,-7.00,7.485975,51.441898,1845.000000
13,7.48819094,51.44651212,261.95,49.176,11.00,-98.00,-7.00,7.485975,51.441898,1845.000000
14,7.48828058,51.44640077,262.55,50.004,11.00,-98.00,-7.00,7.485975,51.441898,1845.000000
15,7.48838065,51.44628981,263.29,50.04,15.00,-94.00,-5.00,7.485975,51.441898,1845.000000
16,7.48849880,51.44618082,264.25,50.4,15.00,-94.00,-5.00,7.485975,51.441898,1845.000000
17,7.48862015,51.44607399,265.16,51.66,16.00,-94.00,-6.00,7.485975,51.441898,1845.000000
18,7.48874671,51.44597179,266.18,52.236,16.00,-94.00,-6.00,7.485975,51.441898,1845.000000
19,7.48889653,51.44586684,266.98,52.092,16.00,-95.00,-6.00,7.485975,51.441898,1845.000000
20,7.48905683,51.44576924,267.98,52.776,16.00,-95.00,-6.00,7.485975,51.441898,1845.000000
21,7.48922408,51.44568120,269.02,53.424,17.00,-97.00,-7.00,7.485975,51.441898,1845.000000
22,7.48940034,51.44559467,270.25,53.892,17.00,-97.00,-7.00,7.485975,51.441898,1845.000000
23,7.48958296,51.44551385,271.28,54.36,24.00,-97.00,-6.00,7.485975,51.441898,1845.000000
24,7.48977152,51.44543027,272.56,54.72,24.00,-97.00,-6.00,7.485975,51.441898,1845.000000
25,7.48995338,51.44535158,273.73,55.116,9.00,-99.00,-6.00,7.485975,51.441898,1845.000000
26,7.49013989,51.44526948,274.78,55.368,9.00,-99.00,-6.00,7.485975,51.441898,1845.000000
27,7.49033415,51.44518504,276.07,54.036,8.00,-98.00,-9.00,7.485975,51.441898,1845.000000
28,7.49051292,51.44511433,277.13,52.74,8.00,-98.00,-9.00,7.485975,51.441898,1845.000000
29,7.49067446,51.44504667,277.99,50.832,11.00,-98.00,-6.00,7.485975,51.441898,1845.000000
30,7.49082919,51.44498050,278.36,49.248,11.00,-98.00,-6.00,7.485975,51.441898,1845.000000
31,7.49098701,51.44491281,278.70,47.196,11.00,-98.00,-6.00,7.485975,51.441898,1845.000000
32,7.49113392,51.44485186,278.74,43.164,11.00,-98.00,-6.00,7.485975,51.441898,1845.000000
33,7.49126134,51.44479404,278.98,36.648,14.00,-100.00,-8.00,7.485975,51.441898,1845.000000
34,7.49136961,51.44474531,279.06,28.116,14.00,-100.00,-8.00,7.485975,51.441898,1845.000000
35,7.49145814,51.44470499,279.13,22.86,14.00,-100.00,-8.00,7.485975,51.441898,1845.000000
36,7.49153025,51.44467261,279.37,17.892,11.00,-102.00,-8.00,7.485975,51.441898,1845.000000
37,7.49157174,51.44465330,279.40,12.06,11.00,-102.00,-8.00,7.485975,51.441898,1845.000000
38,7.49158567,51.44464871,279.42,3.276,11.00,-101.00,-8.00,7.485975,51.441898,1845.000000
39,7.49158567,51.44464871,279.43,0,11.00,-101.00,-8.00,7.485975,51.441898,1845.000000
40,7.49158567,51.44464871,279.43,0,9.00,-105.00,-12.00,7.485975,51.441898,1845.000000
41,7.49158567,51.44464871,279.43,0,9.00,-105.00,-12.00,7.485975,51.441898,1845.000000
42,7.49158567,51.44464871,279.44,0,7.00,-105.00,-8.00,7.485975,51.441898,1845.000000
43,7.49158567,51.44464871,279.44,0,7.00,-105.00,-8.00,7.485975,51.441898,1845.000000
44,7.49158567,51.44464871,279.45,0,6.00,-105.00,-11.00,7.485975,51.441898,1845.000000
45,7.49158567,51.44464871,279.47,0,6.00,-105.00,-11.00,7.485975,51.441898,1845.000000
46,7.49158567,51.44464871,279.48,0,8.00,-107.00,-9.00,7.485975,51.441898,1845.000000
47,7.49158567,51.44464871,279.50,0,8.00,-107.00,-9.00,7.485975,51.441898,1845.000000
48,7.49158567,51.44464871,279.51,0,5.00,-106.00,-7.00,7.485975,51.441898,1845.000000
49,7.49158567,51.44464871,279.52,0,5.00,-106.00,-7.00,7.485975,51.441898,1845.000000
50,7.49158567,51.44464871,279.53,0,11.00,-105.00,-7.00,7.485975,51.441898,1845.000000
51,7.49158567,51.44464871,279.54,0,11.00,-105.00,-7.00,7.485975,51.441898,1845.000000
52,7.49158567,51.44464871,279.55,0,9.00,-105.00,-8.00,7.485975,51.441898,1845.000000
53,7.49158567,51.44464871,279.56,0,9.00,-105.00,-8.00,7.485975,51.441898,1845.000000
54,7.49158567,51.44464871,279.56,0,8.00,-105.00,-8.00,7.485975,51.441898,1845.000000
55,7.49158567,51.44464871,279.57,0,8.00,-105.00,-8.00,7.485975,51.441898,1845.000000
56,7.49158567,51.44464871,279.58,0,8.00,-105.00,-8.00,7.485975,51.441898,1845.000000
57,7.49158567,51.44464871,279.59,0,9.00,-105.00,-8.00,7.485975,51.441898,1845.000000
58,7.49158567,51.44464871,279.59,0,9.00,-105.00,-8.00,7.485975,51.441898,1845.000000
59,7.49158567,51.44464871,279.60,0,10.00,-105.00,-8.00,7.485975,51.441898,1845.000000
60,7.49158567,51.44464871,279.61,0,10.00,-105.00,-8.00,7.485975,51.441898,1845.000000
61,7.49158567,51.44464871,279.62,0,13.00,-104.00,-7.00,7.485975,51.441898,1845.000000
62,7.49158567,51.44464871,279.63,0,13.00,-104.00,-7.00,7.485975,51.441898,1845.000000
63,7.49158567,51.44464871,279.66,0,10.00,-104.00,-7.00,7.485975,51.441898,1845.000000
64,7.49158567,51.44464871,279.67,0,10.00,-104.00,-7.00,7.485975,51.441898,1845.000000
65,7.49167617,51.44460789,279.70,0,9.00,-99.00,-7.00,7.485975,51.441898,1845.000000
66,7.49172073,51.44456342,279.86,6.444,9.00,-99.00,-7.00,7.485975,51.441898,1845.000000
67,7.49172118,51.44450382,279.99,10.152,14.00,-96.00,-6.00,7.485975,51.441898,1845.000000
68,7.49168192,51.44443719,280.07,12.708,14.00,-96.00,-6.00,7.485975,51.441898,1845.000000
69,7.49160888,51.44436682,280.24,32.256,13.00,-89.00,-6.00,7.485975,51.441898,1845.000000
70,7.49152968,51.44430088,280.37,35.46,13.00,-89.00,-6.00,7.485975,51.441898,1845.000000
71,7.49144166,51.44422155,280.00,39.708,20.00,-87.00,-6.00,7.485975,51.441898,1845.000000
72,7.49134504,51.44413610,279.49,40.608,20.00,-87.00,-6.00,7.485975,51.441898,1845.000000
73,7.49123803,51.44404146,278.91,43.524,23.00,-85.00,-6.00,7.485975,51.441898,1845.000000
74,7.49113843,51.44394858,278.15,45.72,23.00,-85.00,-6.00,7.485975,51.441898,1845.000000
75,7.49102103,51.44384236,277.65,52.092,19.00,-75.00,-5.00,7.485975,51.441898,1845.000000
76,7.49089592,51.44373697,277.32,52.272,19.00,-75.00,-5.00,7.485975,51.441898,1845.000000
77,7.49077885,51.44363819,277.13,52.236,19.00,-75.00,-5.00,7.485975,51.441898,1845.000000
78,7.49065100,51.44353045,276.98,53.208,17.00,-76.00,-5.00,7.485975,51.441898,1845.000000
79,7.49051927,51.44341996,276.89,54.36,17.00,-76.00,-5.00,7.485975,51.441898,1845.000000
80,7.49038633,51.44331098,276.91,55.44,23.00,-88.00,-6.00,7.485975,51.441898,1845.000000
81,7.49025387,51.44320099,277.11,55.836,23.00,-88.00,-6.00,7.485975,51.441898,1845.000000
82,7.49012353,51.44309333,277.27,55.944,12.00,-90.00,-6.00,7.485975,51.441898,1845.000000
83,7.48999289,51.44298647,277.75,55.872,12.00,-90.00,-6.00,7.485975,51.441898,1845.000000
84,7.48986181,51.44287800,278.10,53.964,16.00,-90.00,-8.00,7.485975,51.441898,1845.000000
85,7.48973401,51.44277146,278.24,51.768,16.00,-90.00,-8.00,7.485975,51.441898,1845.000000
86,7.48960716,51.44265872,278.34,52.344,16.00,-85.00,-9.00,7.485975,51.441898,1845.000000
87,7.48947241,51.44253806,278.48,55.872,16.00,-85.00,-9.00,7.485975,51.441898,1845.000000
88,7.48935017,51.44243455,278.71,50.4,20.00,-81.00,-6.00,7.485975,51.441898,1845.000000
89,7.48922080,51.44232700,278.99,51.48,20.00,-81.00,-6.00,7.485975,51.441898,1845.000000
90,7.48908051,51.44221119,279.41,55.908,13.00,-80.00,-7.00,7.485975,51.441898,1845.000000
91,7.48894036,51.44210037,279.59,54.72,13.00,-80.00,-7.00,7.485975,51.441898,1845.000000
92,7.48879820,51.44199225,279.66,54.108,13.00,-78.00,-6.00,7.485975,51.441898,1845.000000
93,7.48864430,51.44188143,279.36,56.124,13.00,-78.00,-6.00,7.485975,51.441898,1845.000000
94,7.48849914,51.44178472,278.80,51.912,12.00,-78.00,-9.00,7.485975,51.441898,1845.000000
95,7.48834627,51.44169052,278.14,52.344,12.00,-78.00,-9.00,7.485975,51.441898,1845.000000
96,7.48816406,51.44158984,277.39,55.908,11.00,-78.00,-6.00,7.485975,51.441898,1845.000000
