index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.41236631,51.49037536,161.46,13.752,-4.00,-98.00,-15.00,7.404915,51.488829,1845.000000
1,7.41249056,51.49039332,161.40,14.832,-4.00,-98.00,-11.00,7.404915,51.488829,1845.000000
2,7.41261860,51.49041037,161.24,16.308,-4.00,-98.00,-11.00,7.404915,51.488829,1845.000000
3,7.41277499,51.49043377,160.29,35.424,2.00,-92.00,-10.00,7.404915,51.488829,1845.000000
4,7.41293022,51.49046207,159.28,36.936,2.00,-92.00,-10.00,7.404915,51.488829,1845.000000
5,7.41308942,51.49049027,158.74,38.34,4.00,-94.00,-9.00,7.404915,51.488829,1845.000000
6,7.41326151,51.49051630,158.38,39.888,4.00,-94.00,-9.00,7.404915,51.488829,1845.000000
7,7.41341911,51.49053580,158.06,39.888,-1.00,-98.00,-12.00,7.404915,51.488829,1845.000000
8,7.41356568,51.49055063,158.12,41.22,-1.00,-98.00,-12.00,7.404915,51.488829,1845.000000
9,7.41373111,51.49056820,157.52,43.704,-1.00,-98.00,-12.00,7.404915,51.488829,1845.000000
10,7.41389786,51.49058422,157.19,44.712,0.00,-99.00,-13.00,7.404915,51.488829,1845.000000
11,7.41407224,51.49060073,156.83,43.884,0.00,-99.00,-13.00,7.404915,51.488829,1845.000000
12,7.41425509,51.49061696,156.49,44.712,-3.00,-101.00,-15.00,7.404915,51.488829,1845.000000
13,7.41444135,51.49063542,155.78,44.964,-3.00,-101.00,-15.00,7.404915,51.488829,1845.000000
14,7.41462613,51.49065491,155.06,45.144,-3.00,-99.00,-14.00,7.404915,51.488829,1845.000000
15,7.41480449,51.49067348,154.04,43.992,-3.00,-99.00,-14.00,7.404915,51.488829,1845.000000
16,7.41498012,51.49068995,152.82,44.172,-6.00,-101.00,-15.00,7.404915,51.488829,1845.000000
17,7.41516162,51.49070496,151.71,43.848,-6.00,-101.00,-15.00,7.404915,51.488829,1845.000000
18,7.41531611,51.49071203,151.02,43.668,-8.00,-102.00,-17.00,7.404915,51.488829,1845.000000
19,7.41548373,51.49071589,150.56,43.704,-8.00,-102.00,-17.00,7.404915,51.488829,1845.000000
20,7.41567957,51.49071988,150.43,43.128,-9.00,-102.00,-17.00,7.404915,51.488829,1845.000000
21,7.41586469,51.49071999,150.09,43.488,-9.00,-102.00,-17.00,7.404915,51.488829,1845.000000
22,7.41605692,51.49071483,149.77,43.956,-11.00,-99.00,-14.00,7.422924,51.489614,1845.000000
23,7.41623487,51.49070522,149.02,43.776,-11.00,-99.00,-14.00,7.422924,51.489614,1845.000000
24,7.41639425,51.49068681,147.55,40.716,-2.00,-97.00,-12.00,7.422924,51.489614,1845.000000
25,7.41652460,51.49066822,146.59,33.768,-2.00,-97.00,-12.00,7.422924,51.489614,1845.000000
26,7.41660939,51.49065393,146.55,27.504,2.00,-96.00,-13.00,7.422924,51.489614,1845.000000
27,7.41669603,51.49064123,146.59,23.58,2.00,-96.00,-13.00,7.422924,51.489614,1845.000000
28,7.41677481,51.49062994,147.18,18.684,2.00,-94.00,-12.00,7.422924,51.489614,1845.000000
29,7.41682665,51.49061985,147.23,13.5,2.00,-94.00,-12.00,7.422924,51.489614,1845.000000
30,7.41687784,51.49061130,147.32,10.08,2.00,-94.00,-12.00,7.422924,51.489614,1845.000000
31,7.41690262,51.49060426,147.39,6.084,1.00,-96.00,-13.00,7.422924,51.489614,1845.000000
32,7.41690765,51.49060015,147.44,1.476,1.00,-96.00,-13.00,7.422924,51.489614,1845.000000
33,7.41690765,51.49060015,147.44,0,2.00,-96.00,-13.00,7.422924,51.489614,1845.000000
34,7.41690765,51.49060015,147.44,0,2.00,-96.00,-13.00,7.422924,51.489614,1845.000000
35,7.41690765,51.49060015,147.44,0,4.00,-95.00,-11.00,7.422924,51.489614,1845.000000
36,7.41690765,51.49060015,147.45,0,4.00,-95.00,-11.00,7.422924,51.489614,1845.000000
37,7.41690765,51.49060015,147.45,0,4.00,-96.00,-13.00,7.422924,51.489614,1845.000000
38,7.41690765,51.49060015,147.46,0,4.00,-96.00,-13.00,7.422924,51.489614,1845.000000
39,7.41690765,51.49060015,147.46,0,2.00,-95.00,-12.00,7.422924,51.489614,1845.000000
40,7.41690765,51.49060015,147.47,0,2.00,-95.00,-12.00,7.422924,51.489614,1845.000000
41,7.41690765,51.49060015,147.47,0,3.00,-95.00,-12.00,7.422924,51.489614,1845.000000
42,7.41690765,51.49060015,147.48,0,3.00,-95.00,-12.00,7.422924,51.489614,1845.000000
43,7.41690765,51.49060015,147.49,0,3.00,-94.00,-12.00,7.422924,51.489614,1845.000000
44,7.41690765,51.49060015,147.50,0,3.00,-94.00,-12.00,7.422924,51.489614,1845.000000
45,7.41690765,51.49060015,147.51,0,1.00,-94.00,-12.00,7.422924,51.489614,1845.000000
46,7.41690765,51.49060015,147.53,0,1.00,-94.00,-12.00,7.422924,51.489614,1845.000000
47,7.41690765,51.49060015,147.54,0,1.00,-96.00,-12.00,7.422924,51.489614,1845.000000
48,7.41690765,51.49060015,147.55,0,1.00,-96.00,-12.00,7.422924,51.489614,1845.000000
49,7.41690765,51.49060015,147.56,0,1.00,-97.00,-14.00,7.422924,51.489614,1845.000000
50,7.41690765,51.49060015,147.57,0,1.00,-97.00,-14.00,7.422924,51.489614,1845.000000
51,7.41690765,51.49060015,147.59,0,1.00,-97.00,-14.00,7.422924,51.489614,1845.000000
52,7.41690765,51.49060015,147.60,0,0.00,-98.00,-14.00,7.422924,51.489614,1845.000000
53,7.41690765,51.49060015,147.62,0,0.00,-98.00,-14.00,7.422924,51.489614,1845.000000
54,7.41690765,51.49060015,147.63,0,0.00,-97.00,-13.00,7.422924,51.489614,1845.000000
55,7.41690765,51.49060015,147.65,0,0.00,-97.00,-13.00,7.422924,51.489614,1845.000000
56,7.41690765,51.49060015,147.67,0,1.00,-96.00,-13.00,7.422924,51.489614,1845.000000
57,7.41690762,51.49060010,147.68,0,1.00,-96.00,-13.00,7.422924,51.489614,1845.000000
58,7.41690609,51.49059831,147.70,0,1.00,-96.00,-13.00,7.422924,51.489614,1845.000000
59,7.41690364,51.49059591,147.71,0,1.00,-96.00,-13.00,7.422924,51.489614,1845.000000
60,7.41689834,51.49059481,147.74,0,0.00,-96.00,-13.00,7.422924,51.489614,1845.000000
61,7.41689537,51.49059285,147.80,0,0.00,-96.00,-13.00,7.422924,51.489614,1845.000000
62,7.41688437,51.49058829,147.94,0,-1.00,-96.00,-14.00,7.422924,51.489614,1845.000000
63,7.41688345,51.49058601,148.08,0,-1.00,-96.00,-14.00,7.422924,51.489614,1845.000000
64,7.41688817,51.49058461,148.22,0,-1.00,-96.00,-14.00,7.422924,51.489614,1845.000000
65,7.41691303,51.49058168,148.34,0,-1.00,-96.00,-14.00,7.422924,51.489614,1845.000000
66,7.41697390,51.49057505,149.57,0,1.00,-96.00,-13.00,7.422924,51.489614,1845.000000
