index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.46851897,51.50978139,144.63,27.252,7.00,-89.00,-13.00,7.461705,51.509780,1845.000000
1,7.46864699,51.50980115,144.24,26.568,7.00,-89.00,-13.00,7.461705,51.509780,1845.000000
2,7.46878409,51.50982882,144.07,33.66,6.00,-86.00,-12.00,7.461705,51.509780,1845.000000
3,7.46891617,51.50986261,143.98,33.624,6.00,-86.00,-12.00,7.461705,51.509780,1845.000000
4,7.46904731,51.50990335,144.14,35.028,5.00,-84.00,-11.00,7.461705,51.509780,1845.000000
5,7.46919139,51.50994598,144.80,38.88,5.00,-84.00,-11.00,7.461705,51.509780,1845.000000
6,7.46934486,51.51000245,145.58,45.9,0.00,-86.00,-10.00,7.461705,51.509780,2680.000000
7,7.46949919,51.51006122,146.19,46.512,0.00,-86.00,-10.00,7.461705,51.509780,2680.000000
8,7.46965893,51.51012851,146.74,48.78,17.00,-93.00,-7.00,7.474795,51.512835,2680.000000
9,7.46982995,51.51020477,147.34,52.164,17.00,-93.00,-7.00,7.474795,51.512835,2680.000000
10,7.47000346,51.51028226,147.81,51.66,9.00,-98.00,-10.00,7.474795,51.512835,2680.000000
11,7.47017266,51.51035481,148.88,50.328,9.00,-98.00,-10.00,7.474795,51.512835,2680.000000
12,7.47034696,51.51043187,151.05,50.148,13.00,-101.00,-9.00,7.474795,51.512835,2680.000000
13,7.47057532,51.51053829,153.37,50.148,13.00,-101.00,-9.00,7.474795,51.512835,2680.000000
14,7.47075870,51.51063302,155.78,51.156,7.00,-102.00,-10.00,7.474795,51.512835,2680.000000
15,7.47091212,51.51072424,157.58,47.808,7.00,-102.00,-10.00,7.474795,51.512835,2680.000000
16,7.47103957,51.51082195,158.42,51.048,7.00,-102.00,-10.00,7.474795,51.512835,2680.000000
17,7.47117563,51.51092758,158.64,54.684,12.00,-102.00,-7.00,7.474795,51.512835,2680.000000
18,7.47130746,51.51103345,158.39,53.568,12.00,-102.00,-7.00,7.474795,51.512835,2680.000000
19,7.47142898,51.51113761,157.85,51.408,17.00,-98.00,-12.00,7.474795,51.512835,2680.000000
20,7.47155499,51.51124002,156.73,50.76,17.00,-98.00,-12.00,7.474795,51.512835,2680.000000
21,7.47167413,51.51133847,155.57,49.644,19.00,-99.00,-9.00,7.474795,51.512835,2680.000000
22,7.47178734,51.51144123,153.87,49.176,19.00,-99.00,-9.00,7.474795,51.512835,2680.000000
23,7.47190188,51.51153754,152.89,47.628,16.00,-99.00,-7.00,7.474795,51.512835,2680.000000
24,7.47201380,51.51163171,151.73,46.116,16.00,-99.00,-7.00,7.474795,51.512835,2680.000000
