index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.41239066,51.49035045,168.50,12.06,12.00,-91.00,-6.00,7.403921,51.489010,1815.000000
1,7.41254933,51.49037772,167.87,13.716,12.00,-91.00,-6.00,7.403921,51.489010,1815.000000
2,7.41267181,51.49039623,166.91,32.436,18.00,-88.00,-6.00,7.403921,51.489010,1815.000000
3,7.41282741,51.49042151,165.84,39.024,18.00,-88.00,-6.00,7.403921,51.489010,1815.000000
4,7.41300072,51.49044485,164.72,40.104,18.00,-88.00,-6.00,7.403921,51.489010,1815.000000
5,7.41314689,51.49046212,163.09,40.392,20.00,-86.00,-6.00,7.403921,51.489010,1815.000000
6,7.41330920,51.49047908,161.57,41.184,20.00,-86.00,-6.00,7.403921,51.489010,1815.000000
7,7.41346947,51.49049584,160.25,42.3,19.00,-88.00,-7.00,7.403921,51.489010,1815.000000
8,7.41363338,51.49051585,159.36,42.696,19.00,-88.00,-7.00,7.403921,51.489010,1815.000000
9,7.41379655,51.49053465,158.29,42.48,22.00,-85.00,-5.00,7.403921,51.489010,1815.000000
10,7.41396570,51.49055343,157.63,42.588,22.00,-85.00,-5.00,7.403921,51.489010,1815.000000
11,7.41413422,51.49057194,157.05,43.092,18.00,-83.00,-5.00,7.403921,51.489010,1815.000000
12,7.41430630,51.49059236,156.39,43.956,18.00,-83.00,-5.00,7.403921,51.489010,1815.000000
13,7.41448378,51.49061671,155.72,44.532,15.00,-82.00,-5.00,7.403921,51.489010,1815.000000
14,7.41465449,51.49063974,155.35,44.316,15.00,-82.00,-5.00,7.403921,51.489010,1815.000000
15,7.41484680,51.49066303,154.38,44.172,14.00,-85.00,-5.00,7.403921,51.489010,1815.000000
16,7.41501441,51.49067629,153.98,43.344,14.00,-85.00,-5.00,7.403921,51.489010,1815.000000
17,7.41518861,51.49068644,153.70,43.344,3.00,-85.00,-5.00,7.403921,51.489010,1815.000000
18,7.41536592,51.49069704,153.36,42.804,3.00,-85.00,-5.00,7.403921,51.489010,1815.000000
19,7.41553346,51.49070735,152.78,42.372,11.00,-84.00,-6.00,7.412209,51.492758,1815.000000
20,7.41569344,51.49071414,152.47,41.22,11.00,-84.00,-6.00,7.412209,51.492758,1815.000000
21,7.41583512,51.49071670,152.53,40.212,25.00,-82.00,-5.00,7.412209,51.492758,1815.000000
22,7.41600202,51.49071491,152.41,38.736,25.00,-82.00,-5.00,7.412209,51.492758,1815.000000
23,7.41616160,51.49070683,151.94,35.064,21.00,-85.00,-9.00,7.412209,51.492758,1815.000000
24,7.41629797,51.49069648,152.05,30.384,21.00,-85.00,-9.00,7.412209,51.492758,1815.000000
25,7.41640507,51.49068351,152.12,29.088,21.00,-85.00,-9.00,7.412209,51.492758,1815.000000
26,7.41651900,51.49067222,152.28,28.548,24.00,-85.00,-6.00,7.412209,51.492758,1815.000000
27,7.41664032,51.49065634,152.43,28.548,24.00,-85.00,-6.00,7.412209,51.492758,1815.000000
28,7.41677896,51.49063772,152.46,28.404,21.00,-82.00,-6.00,7.412209,51.492758,1815.000000
29,7.41689048,51.49062067,152.91,28.512,21.00,-82.00,-6.00,7.412209,51.492758,1815.000000
30,7.41699013,51.49060322,153.29,29.34,29.00,-74.00,-5.00,7.412209,51.492758,1815.000000
31,7.41708852,51.49060657,153.80,22.68,29.00,-74.00,-5.00,7.412209,51.492758,1815.000000
32,7.41713752,51.49063376,154.23,23.184,25.00,-86.00,-6.00,7.412209,51.492758,1815.000000
33,7.41717576,51.49066763,154.64,22.284,25.00,-86.00,-6.00,7.412209,51.492758,1815.000000
34,7.41718410,51.49071780,155.25,25.524,14.00,-92.00,-6.00,7.412209,51.492758,1815.000000
35,7.41718463,51.49077842,155.78,27.108,14.00,-92.00,-6.00,7.412209,51.492758,1815.000000
36,7.41717333,51.49084844,155.86,29.808,16.00,-95.00,-6.00,7.412209,51.492758,1815.000000
37,7.41715604,51.49091852,155.54,30.636,16.00,-95.00,-6.00,7.412209,51.492758,1815.000000
38,7.41712815,51.49099836,155.63,30.42,9.00,-94.00,-9.00,7.412209,51.492758,1815.000000
39,7.41709548,51.49109041,155.82,32.364,9.00,-94.00,-9.00,7.412209,51.492758,1815.000000
40,7.41706609,51.49118937,155.51,33.912,13.00,-92.00,-6.00,7.412209,51.492758,1815.000000
41,7.41703317,51.49129031,155.44,37.188,13.00,-92.00,-6.00,7.412209,51.492758,1815.000000
42,7.41700070,51.49139319,155.64,36.72,11.00,-95.00,-8.00,7.412209,51.492758,1815.000000
