index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.48827379,51.45005713,257.19,31.392,9.00,-97.00,-9.00,7.488691,51.454400,1815.000000
1,7.48830466,51.44997972,256.93,34.164,10.00,-97.00,-8.00,7.488691,51.454400,1815.000000
2,7.48833464,51.44989292,256.75,36.9,10.00,-97.00,-8.00,7.488691,51.454400,1815.000000
3,7.48836574,51.44979124,256.90,39.348,10.00,-100.00,-8.00,7.488691,51.454400,1815.000000
4,7.48839441,51.44968825,257.12,39.96,10.00,-100.00,-8.00,7.488691,51.454400,1815.000000
5,7.48841634,51.44958377,257.34,43.38,10.00,-100.00,-9.00,7.488691,51.454400,1815.000000
6,7.48843701,51.44947081,257.53,45.432,10.00,-100.00,-9.00,7.488691,51.454400,1815.000000
7,7.48844933,51.44935458,257.73,47.844,6.00,-100.00,-9.00,7.488691,51.454400,1815.000000
8,7.48845076,51.44924066,257.98,46.8,6.00,-100.00,-9.00,7.488691,51.454400,1815.000000
9,7.48844377,51.44911779,258.37,47.268,4.00,-103.00,-9.00,7.488691,51.454400,1815.000000
10,7.48842751,51.44899693,258.56,48.636,4.00,-103.00,-9.00,7.488691,51.454400,1815.000000
11,7.48839950,51.44886948,258.84,49.248,4.00,-103.00,-9.00,7.488691,51.454400,1815.000000
12,7.48836971,51.44874735,259.14,50.436,9.00,-103.00,-9.00,7.488691,51.454400,1815.000000
13,7.48833418,51.44862702,259.31,49.608,9.00,-103.00,-9.00,7.488691,51.454400,1815.000000
14,7.48828417,51.44850322,259.46,50.796,4.00,-106.00,-10.00,7.488691,51.454400,1815.000000
15,7.48823763,51.44838978,259.58,51.336,4.00,-106.00,-10.00,7.488691,51.454400,1815.000000
16,7.48819105,51.44825395,259.51,50.652,0.00,-107.00,-11.00,7.488691,51.454400,1815.000000
17,7.48814494,51.44813603,259.59,51.12,0.00,-107.00,-11.00,7.488691,51.454400,1815.000000
18,7.48809199,51.44801608,260.12,51.084,-2.00,-106.00,-10.00,7.486161,51.441945,1815.000000
19,7.48804092,51.44790556,260.41,50.292,-2.00,-106.00,-10.00,7.486161,51.441945,1815.000000
20,7.48799197,51.44777378,260.60,47.844,3.00,-105.00,-11.00,7.486161,51.441945,1815.000000
21,7.48794714,51.44765609,261.54,47.916,3.00,-105.00,-11.00,7.486161,51.441945,1815.000000
22,7.48792227,51.44754843,262.25,48.312,2.00,-106.00,-11.00,7.486161,51.441945,1815.000000
23,7.48789962,51.44742548,262.74,47.988,2.00,-106.00,-11.00,7.486161,51.441945,1815.000000
24,7.48789620,51.44731076,262.96,47.124,1.00,-101.00,-8.00,7.486161,51.441945,1815.000000
25,7.48790682,51.44720320,263.28,46.296,1.00,-101.00,-8.00,7.486161,51.441945,1815.000000
26,7.48792942,51.44708904,263.38,46.44,0.00,-105.00,-10.00,7.486161,51.441945,1815.000000
27,7.48796163,51.44697073,263.54,46.764,0.00,-105.00,-10.00,7.486161,51.441945,1815.000000
28,7.48799929,51.44685367,263.37,47.196,1.00,-107.00,-12.00,7.486161,51.441945,1815.000000
29,7.48805049,51.44673785,263.18,47.304,1.00,-107.00,-12.00,7.486161,51.441945,1815.000000
30,7.48811030,51.44662889,262.95,47.34,3.00,-105.00,-10.00,7.486161,51.441945,1815.000000
31,7.48819032,51.44650955,262.98,48.204,3.00,-105.00,-10.00,7.486161,51.441945,1815.000000
32,7.48828260,51.44639385,263.33,49.68,3.00,-105.00,-10.00,7.486161,51.441945,1815.000000
33,7.48839153,51.44627470,263.64,50.004,1.00,-105.00,-14.00,7.486161,51.441945,1815.000000
34,7.48850385,51.44616406,263.99,50.004,1.00,-105.00,-14.00,7.486161,51.441945,1815.000000
35,7.48863935,51.44604793,264.78,51.552,2.00,-104.00,-11.00,7.486161,51.441945,1815.000000
36,7.48877556,51.44594752,265.40,52.308,2.00,-104.00,-11.00,7.486161,51.441945,1815.000000
37,7.48892899,51.44584771,266.21,52.812,9.00,-101.00,-9.00,7.486161,51.441945,1815.000000
38,7.48909860,51.44574714,267.24,53.424,9.00,-101.00,-9.00,7.486161,51.441945,1815.000000
39,7.48927085,51.44565654,268.43,53.46,7.00,-105.00,-10.00,7.486161,51.441945,1815.000000
