index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.41247467,51.49036040,162.07,13.788,12.00,-91.00,-7.00,7.403921,51.489010,1815.000000
1,7.41261567,51.49038867,160.56,33.48,17.00,-92.00,-7.00,7.403921,51.489010,1815.000000
2,7.41274104,51.49041559,159.01,35.496,17.00,-92.00,-7.00,7.403921,51.489010,1815.000000
3,7.41289433,51.49045027,157.14,36.972,10.00,-85.00,-5.00,7.403921,51.489010,1815.000000
4,7.41303535,51.49047436,156.06,39.276,10.00,-85.00,-5.00,7.403921,51.489010,1815.000000
5,7.41318531,51.49049856,154.53,41.364,8.00,-88.00,-6.00,7.403921,51.489010,1815.000000
6,7.41336092,51.49052558,152.83,41.976,8.00,-88.00,-6.00,7.403921,51.489010,1815.000000
7,7.41352761,51.49055074,151.50,42.516,4.00,-85.00,-6.00,7.403921,51.489010,1815.000000
8,7.41369483,51.49057518,150.28,43.2,4.00,-85.00,-6.00,7.403921,51.489010,1815.000000
9,7.41387149,51.49059973,149.35,43.2,6.00,-86.00,-10.00,7.403921,51.489010,1815.000000
10,7.41405726,51.49062464,148.69,43.74,6.00,-86.00,-10.00,7.403921,51.489010,1815.000000
11,7.41423326,51.49064583,147.94,44.82,20.00,-84.00,-7.00,7.403921,51.489010,1815.000000
12,7.41441946,51.49066851,147.35,44.748,20.00,-84.00,-7.00,7.403921,51.489010,1815.000000
13,7.41458989,51.49069033,146.89,44.28,14.00,-82.00,-5.00,7.403921,51.489010,1815.000000
14,7.41475522,51.49070958,146.30,42.228,14.00,-82.00,-5.00,7.403921,51.489010,1815.000000
15,7.41493287,51.49073056,145.69,42.48,8.00,-87.00,-6.00,7.403921,51.489010,1815.000000
16,7.41511545,51.49074695,145.23,43.488,8.00,-87.00,-6.00,7.403921,51.489010,1815.000000
17,7.41529428,51.49075742,144.81,43.524,13.00,-85.00,-5.00,7.403921,51.489010,1815.000000
18,7.41546291,51.49076116,144.60,43.668,13.00,-85.00,-5.00,7.403921,51.489010,1815.000000
19,7.41563336,51.49076524,144.27,43.2,20.00,-85.00,-6.00,7.412209,51.492758,1815.000000
20,7.41580508,51.49076631,144.02,43.488,20.00,-85.00,-6.00,7.412209,51.492758,1815.000000
21,7.41598491,51.49076235,143.83,44.028,20.00,-85.00,-6.00,7.412209,51.492758,1815.000000
22,7.41618860,51.49075388,144.36,43.884,22.00,-84.00,-7.00,7.412209,51.492758,1815.000000
23,7.41635303,51.49074056,145.07,39.348,22.00,-84.00,-7.00,7.412209,51.492758,1815.000000
24,7.41650918,51.49072388,145.81,34.596,17.00,-85.00,-6.00,7.412209,51.492758,1815.000000
25,7.41663148,51.49070579,146.60,28.548,17.00,-85.00,-6.00,7.412209,51.492758,1815.000000
26,7.41673565,51.49068868,147.35,22.86,14.00,-82.00,-6.00,7.412209,51.492758,1815.000000
27,7.41680586,51.49067141,148.13,18.288,14.00,-82.00,-6.00,7.412209,51.492758,1815.000000
28,7.41686192,51.49065815,148.18,13.932,25.00,-83.00,-6.00,7.412209,51.492758,1815.000000
29,7.41692200,51.49064515,148.25,9.684,25.00,-83.00,-6.00,7.412209,51.492758,1815.000000
30,7.41693470,51.49063306,148.31,6.084,25.00,-80.00,-6.00,7.412209,51.492758,1815.000000
