index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.46854058,51.50979057,148.71,25.236,13.00,-91.00,-7.00,7.466344,51.505661,2650.000000
1,7.46866457,51.50983171,147.66,25.236,11.00,-90.00,-8.00,7.466344,51.505661,2650.000000
2,7.46879548,51.50985584,147.02,34.092,11.00,-90.00,-8.00,7.466344,51.505661,2650.000000
3,7.46893859,51.50988933,146.46,33.156,12.00,-91.00,-8.00,7.466344,51.505661,2650.000000
4,7.46906931,51.50992653,146.23,33.372,12.00,-91.00,-8.00,7.466344,51.505661,2650.000000
5,7.46921183,51.50997293,146.70,37.584,7.00,-93.00,-8.00,7.466344,51.505661,2650.000000
6,7.46936993,51.51003444,147.34,44.604,7.00,-93.00,-8.00,7.466344,51.505661,2650.000000
7,7.46952896,51.51010292,147.81,47.412,4.00,-94.00,-8.00,7.466344,51.505661,2650.000000
8,7.46969474,51.51017391,148.13,50.256,4.00,-94.00,-8.00,7.466344,51.505661,2650.000000
9,7.46986476,51.51024490,148.47,52.488,0.00,-97.00,-8.00,7.466344,51.505661,2650.000000
10,7.47003995,51.51031264,148.82,51.012,0.00,-97.00,-8.00,7.466344,51.505661,2650.000000
11,7.47021679,51.51038139,149.63,50.148,-3.00,-93.00,-7.00,7.474783,51.509265,2650.000000
12,7.47038903,51.51045345,149.88,50.832,-3.00,-93.00,-7.00,7.474783,51.509265,2650.000000
13,7.47054379,51.51054113,149.39,50.832,12.00,-83.00,-6.00,7.474783,51.509265,2650.000000
14,7.47069795,51.51062975,148.48,51.696,12.00,-83.00,-6.00,7.474783,51.509265,2650.000000
15,7.47084318,51.51071997,147.65,50.4,12.00,-91.00,-7.00,7.474783,51.509265,2650.000000
16,7.47100589,51.51080793,148.23,51.084,12.00,-91.00,-7.00,7.474783,51.509265,2650.000000
17,7.47115142,51.51091348,148.66,56.088,23.00,-89.00,-6.00,7.474783,51.509265,2650.000000
18,7.47128457,51.51101590,148.60,52.092,23.00,-89.00,-6.00,7.474783,51.509265,2650.000000
19,7.47140849,51.51111717,148.42,49.932,22.00,-87.00,-6.00,7.474783,51.509265,2650.000000
20,7.47153721,51.51122118,147.98,51.984,22.00,-87.00,-6.00,7.474783,51.509265,2650.000000
21,7.47166369,51.51132557,147.06,50.364,22.00,-87.00,-6.00,7.474783,51.509265,2650.000000
22,7.47178319,51.51142549,146.44,49.572,25.00,-86.00,-6.00,7.474783,51.509265,2650.000000
23,7.47189718,51.51152024,146.48,45.9,25.00,-86.00,-6.00,7.474783,51.509265,2650.000000
24,7.47200452,51.51160740,146.51,41.832,13.00,-86.00,-6.00,7.474783,51.509265,2650.000000
25,7.47211722,51.51169460,146.52,43.344,13.00,-86.00,-6.00,7.474783,51.509265,2650.000000
26,7.47223048,51.51178177,146.40,43.704,29.00,-86.00,-5.00,7.474783,51.509265,2650.000000
