index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
0,7.46858035,51.50988654,152.25,32.184,-4.00,-110.00,-12.00,7.471161,51.507658,2630.000000
1,7.46873111,51.50990576,150.94,34.848,-16.00,-114.00,-16.00,7.471161,51.507658,2630.000000
2,7.46887402,51.50993306,149.82,34.272,-16.00,-114.00,-16.00,7.471161,51.507658,2630.000000
3,7.46901799,51.50996342,148.67,33.12,0.00,-101.00,-8.00,7.464644,51.513969,1865.100000
4,7.46916855,51.50999921,147.56,36.54,0.00,-101.00,-8.00,7.464644,51.513969,1865.100000
5,7.46933977,51.51005792,147.66,45.072,7.00,-101.00,-8.00,7.464644,51.513969,1865.100000
6,7.46950439,51.51011606,148.07,45.072,7.00,-101.00,-8.00,7.464644,51.513969,1865.100000
7,7.46965875,51.51019751,148.83,49.536,7.00,-104.00,-9.00,7.464644,51.513969,1865.100000
8,7.46982498,51.51027373,149.15,50.436,7.00,-104.00,-9.00,7.464644,51.513969,1865.100000
9,7.46999907,51.51034885,149.36,50.616,6.00,-102.00,-11.00,7.464644,51.513969,1865.100000
10,7.47017725,51.51041528,149.57,47.304,6.00,-102.00,-11.00,7.464644,51.513969,1865.100000
11,7.47037430,51.51048351,149.95,46.8,-3.00,-112.00,-12.00,7.471161,51.507658,2630.000000
12,7.47055524,51.51055782,150.06,50.616,-3.00,-112.00,-12.00,7.471161,51.507658,2630.000000
13,7.47073380,51.51063274,151.58,50.544,-11.00,-113.00,-12.00,7.471161,51.507658,2630.000000
14,7.47094955,51.51073506,152.76,50.544,-11.00,-113.00,-12.00,7.471161,51.507658,2630.000000
15,7.47105422,51.51083445,154.24,53.532,-11.00,-94.00,-10.00,7.474766,51.515038,860.000000
16,7.47114126,51.51095063,154.12,53.748,-11.00,-94.00,-10.00,7.474766,51.515038,860.000000
17,7.47074240,51.51132070,153.11,53.424,-1.00,-96.00,-11.00,7.474766,51.515038,860.000000
18,7.47135543,51.51116931,151.55,52.884,-1.00,-96.00,-11.00,7.474766,51.515038,860.000000
19,7.47147547,51.51126674,149.95,51.12,0.00,-94.00,-11.00,7.474766,51.515038,860.000000
20,7.47160445,51.51135719,148.71,49.932,0.00,-94.00,-11.00,7.474766,51.515038,860.000000
21,7.47172283,51.51144859,146.61,48.24,8.00,-91.00,-11.00,7.474766,51.515038,860.000000
22,7.47184095,51.51153969,144.66,48.24,8.00,-91.00,-11.00,7.474766,51.515038,860.000000
23,7.47195410,51.51162301,143.13,45.792,8.00,-91.00,-11.00,7.474766,51.515038,860.000000
24,7.47206581,51.51170790,142.01,44.82,7.00,-92.00,-11.00,7.474766,51.515038,860.000000
