,SINR,RSRP,RSRQ,Power
0,16.18,-75.44,-13.36,-55.42
1,16.18,-75.44,-13.36,-55.42
2,16.18,-75.44,-13.36,-55.42
3,16.18,-75.44,-13.36,-55.42
4,16.18,-75.44,-13.36,-55.42
5,16.18,-75.44,-13.36,-55.42
6,16.18,-75.44,-13.36,-55.42
7,16.18,-75.44,-13.36,-55.42
8,22.01,-70.0,-12.98,-49.67
9,22.01,-70.0,-12.98,-49.67
10,22.01,-70.0,-12.98,-49.67
11,22.01,-70.0,-12.98,-49.67
12,22.01,-70.0,-12.98,-49.67
13,22.01,-70.0,-12.98,-49.67
14,22.01,-70.0,-12.98,-49.67
15,22.01,-70.0,-12.98,-49.67
16,18.67,-69.9,-13.08,-49.58
17,18.67,-69.9,-13.08,-49.58
18,18.67,-69.9,-13.08,-49.58
19,18.67,-69.9,-13.08,-49.58
20,18.67,-69.9,-13.08,-49.58
21,18.67,-69.9,-13.08,-49.58
22,18.67,-69.9,-13.08,-49.58
23,18.67,-69.9,-13.08,-49.58
24,17.95,-72.83,-13.27,-52.71
25,17.95,-72.83,-13.27,-52.71
26,17.95,-72.83,-13.27,-52.71
27,17.95,-72.83,-13.27,-52.71
28,17.95,-72.83,-13.27,-52.71
29,17.95,-72.83,-13.27,-52.71
30,17.95,-72.83,-13.27,-52.71
31,17.95,-72.83,-13.27,-52.71
32,22.65,-70.94,-13.31,-49.74
33,22.65,-70.94,-13.31,-49.74
34,22.65,-70.94,-13.31,-49.74
35,22.65,-70.94,-13.31,-49.74
36,22.65,-70.94,-13.31,-49.74
37,22.65,-70.94,-13.31,-49.74
38,22.65,-70.94,-13.31,-49.74
39,22.65,-70.94,-13.31,-49.74
40,23.16,-70.64,-13.02,-49.89
41,23.16,-70.64,-13.02,-49.89
42,23.16,-70.64,-13.02,-49.89
43,23.16,-70.64,-13.02,-49.89
44,23.16,-70.64,-13.02,-49.89
45,23.16,-70.64,-13.02,-49.89
46,23.16,-70.64,-13.02,-49.89
47,23.16,-70.64,-13.02,-49.89
48,24.54,-69.71,-12.94,-49.47
49,24.54,-69.71,-12.94,-49.47
50,24.54,-69.71,-12.94,-49.47
51,24.54,-69.71,-12.94,-49.47
52,24.54,-69.71,-12.94,-49.47
53,24.54,-69.71,-12.94,-49.47
54,24.54,-69.71,-12.94,-49.47
55,24.54,-69.71,-12.94,-49.47
56,25.1,-69.47,-13.02,-49.23
57,25.1,-69.47,-13.02,-49.23
58,25.1,-69.47,-13.02,-49.23
59,25.1,-69.47,-13.02,-49.23
60,25.1,-69.47,-13.02,-49.23
61,25.1,-69.47,-13.02,-49.23
62,25.1,-69.47,-13.02,-49.23
63,25.1,-69.47,-13.02,-49.23
64,23.86,-70.08,-12.95,-50.13
65,23.86,-70.08,-12.95,-50.13
66,23.86,-70.08,-12.95,-50.13
67,23.86,-70.08,-12.95,-50.13
68,23.86,-70.08,-12.95,-50.13
69,23.86,-70.08,-12.95,-50.13
70,23.86,-70.08,-12.95,-50.13
71,23.86,-70.08,-12.95,-50.13
72,26.66,-70.06,-13.02,-49.78
73,26.66,-70.06,-13.02,-49.78
74,26.66,-70.06,-13.02,-49.78
75,26.66,-70.06,-13.02,-49.78
76,26.66,-70.06,-13.02,-49.78
77,26.66,-70.06,-13.02,-49.78
78,26.66,-70.06,-13.02,-49.78
79,26.66,-70.06,-13.02,-49.78
80,23.17,-71.65,-13.01,-51.69
81,23.17,-71.65,-13.01,-51.69
82,23.17,-71.65,-13.01,-51.69
83,23.17,-71.65,-13.01,-51.69
84,23.17,-71.65,-13.01,-51.69
85,23.17,-71.65,-13.01,-51.69
86,23.17,-71.65,-13.01,-51.69
87,23.17,-71.65,-13.01,-51.69
88,25.05,-68.03,-12.96,-48.04
89,25.05,-68.03,-12.96,-48.04
90,25.05,-68.03,-12.96,-48.04
91,25.05,-68.03,-12.96,-48.04
92,25.05,-68.03,-12.96,-48.04
93,25.05,-68.03,-12.96,-48.04
94,25.05,-68.03,-12.96,-48.04
95,25.05,-68.03,-12.96,-48.04
96,24.43,-68.64,-12.97,-48.53
97,24.43,-68.64,-12.97,-48.53
98,24.43,-68.64,-12.97,-48.53
99,24.43,-68.64,-12.97,-48.53
100,24.43,-68.64,-12.97,-48.53
101,24.43,-68.64,-12.97,-48.53
102,24.43,-68.64,-12.97,-48.53
103,24.43,-68.64,-12.97,-48.53
104,27.4,-66.91,-12.97,-46.49
105,27.4,-66.91,-12.97,-46.49
106,27.4,-66.91,-12.97,-46.49
107,27.4,-66.91,-12.97,-46.49
108,27.4,-66.91,-12.97,-46.49
109,27.4,-66.91,-12.97,-46.49
110,27.4,-66.91,-12.97,-46.49
111,27.4,-66.91,-12.97,-46.49
112,22.92,-69.6,-12.92,-49.37
113,22.92,-69.6,-12.92,-49.37
114,22.92,-69.6,-12.92,-49.37
115,22.92,-69.6,-12.92,-49.37
116,22.92,-69.6,-12.92,-49.37
117,22.92,-69.6,-12.92,-49.37
118,22.92,-69.6,-12.92,-49.37
119,22.92,-69.6,-12.92,-49.37
120,24.08,-67.78,-13.0,-47.39
121,24.08,-67.78,-13.0,-47.39
122,24.08,-67.78,-13.0,-47.39
123,24.08,-67.78,-13.0,-47.39
124,24.08,-67.78,-13.0,-47.39
125,24.08,-67.78,-13.0,-47.39
126,24.08,-67.78,-13.0,-47.39
127,24.08,-67.78,-13.0,-47.39
128,23.88,-67.68,-13.0,-47.36
129,23.88,-67.68,-13.0,-47.36
130,23.88,-67.68,-13.0,-47.36
131,23.88,-67.68,-13.0,-47.36
132,23.88,-67.68,-13.0,-47.36
133,23.88,-67.68,-13.0,-47.36
134,23.88,-67.68,-13.0,-47.36
135,23.88,-67.68,-13.0,-47.36
136,20.75,-68.55,-12.95,-48.48
137,20.75,-68.55,-12.95,-48.48
138,20.75,-68.55,-12.95,-48.48
139,20.75,-68.55,-12.95,-48.48
140,20.75,-68.55,-12.95,-48.48
141,20.75,-68.55,-12.95,-48.48
142,20.75,-68.55,-12.95,-48.48
143,20.75,-68.55,-12.95,-48.48
144,20.98,-67.53,-13.01,-47.45
145,20.98,-67.53,-13.01,-47.45
146,20.98,-67.53,-13.01,-47.45
147,20.98,-67.53,-13.01,-47.45
148,20.98,-67.53,-13.01,-47.45
149,20.98,-67.53,-13.01,-47.45
150,20.98,-67.53,-13.01,-47.45
151,20.98,-67.53,-13.01,-47.45
152,21.06,-66.06,-13.02,-45.98
153,21.06,-66.06,-13.02,-45.98
154,21.06,-66.06,-13.02,-45.98
155,21.06,-66.06,-13.02,-45.98
156,21.06,-66.06,-13.02,-45.98
157,21.06,-66.06,-13.02,-45.98
158,21.06,-66.06,-13.02,-45.98
159,21.06,-66.06,-13.02,-45.98
160,24.46,-65.53,-13.0,-45.32
161,24.46,-65.53,-13.0,-45.32
162,24.46,-65.53,-13.0,-45.32
163,24.46,-65.53,-13.0,-45.32
164,24.46,-65.53,-13.0,-45.32
165,24.46,-65.53,-13.0,-45.32
166,24.46,-65.53,-13.0,-45.32
167,24.46,-65.53,-13.0,-45.32
168,27.0,-64.23,-13.0,-43.98
169,27.0,-64.23,-13.0,-43.98
170,27.0,-64.23,-13.0,-43.98
171,27.0,-64.23,-13.0,-43.98
172,27.0,-64.23,-13.0,-43.98
173,27.0,-64.23,-13.0,-43.98
174,27.0,-64.23,-13.0,-43.98
175,27.0,-64.23,-13.0,-43.98
176,25.95,-66.48,-12.96,-46.4
177,25.95,-66.48,-12.96,-46.4
178,25.95,-66.48,-12.96,-46.4
179,25.95,-66.48,-12.96,-46.4
180,25.95,-66.48,-12.96,-46.4
181,25.95,-66.48,-12.96,-46.4
182,25.95,-66.48,-12.96,-46.4
183,25.95,-66.48,-12.96,-46.4
184,25.35,-65.51,-12.95,-45.65
185,25.35,-65.51,-12.95,-45.65
186,25.35,-65.51,-12.95,-45.65
187,25.35,-65.51,-12.95,-45.65
188,25.35,-65.51,-12.95,-45.65
189,25.35,-65.51,-12.95,-45.65
190,25.35,-65.51,-12.95,-45.65
191,25.35,-65.51,-12.95,-45.65
192,24.66,-66.23,-13.06,-45.9
193,24.66,-66.23,-13.06,-45.9
194,24.66,-66.23,-13.06,-45.9
195,24.66,-66.23,-13.06,-45.9
196,24.66,-66.23,-13.06,-45.9
197,24.66,-66.23,-13.06,-45.9
198,24.66,-66.23,-13.06,-45.9
199,24.66,-66.23,-13.06,-45.9
200,21.29,-68.23,-13.03,-48.04
201,21.29,-68.23,-13.03,-48.04
202,21.29,-68.23,-13.03,-48.04
203,21.29,-68.23,-13.03,-48.04
204,21.29,-68.23,-13.03,-48.04
205,21.29,-68.23,-13.03,-48.04
206,21.29,-68.23,-13.03,-48.04
207,21.29,-68.23,-13.03,-48.04
208,22.02,-67.27,-12.94,-47.2
209,22.02,-67.27,-12.94,-47.2
210,22.02,-67.27,-12.94,-47.2
211,22.02,-67.27,-12.94,-47.2
212,22.02,-67.27,-12.94,-47.2
213,22.02,-67.27,-12.94,-47.2
214,22.02,-67.27,-12.94,-47.2
215,22.02,-67.27,-12.94,-47.2
216,23.02,-66.02,-12.95,-45.74
217,23.02,-66.02,-12.95,-45.74
218,23.02,-66.02,-12.95,-45.74
219,23.02,-66.02,-12.95,-45.74
220,23.02,-66.02,-12.95,-45.74
221,23.02,-66.02,-12.95,-45.74
222,23.02,-66.02,-12.95,-45.74
223,23.02,-66.02,-12.95,-45.74
224,20.07,-67.96,-13.01,-48.11
225,20.07,-67.96,-13.01,-48.11
226,20.07,-67.96,-13.01,-48.11
227,20.07,-67.96,-13.01,-48.11
228,20.07,-67.96,-13.01,-48.11
229,20.07,-67.96,-13.01,-48.11
230,20.07,-67.96,-13.01,-48.11
231,20.07,-67.96,-13.01,-48.11
232,19.84,-69.59,-13.06,-49.14
233,19.84,-69.59,-13.06,-49.14
234,19.84,-69.59,-13.06,-49.14
235,19.84,-69.59,-13.06,-49.14
236,19.84,-69.59,-13.06,-49.14
237,19.84,-69.59,-13.06,-49.14
238,19.84,-69.59,-13.06,-49.14
239,19.84,-69.59,-13.06,-49.14
240,21.31,-69.69,-13.0,-49.77
241,21.31,-69.69,-13.0,-49.77
242,21.31,-69.69,-13.0,-49.77
243,21.31,-69.69,-13.0,-49.77
244,21.31,-69.69,-13.0,-49.77
245,21.31,-69.69,-13.0,-49.77
246,21.31,-69.69,-13.0,-49.77
247,21.31,-69.69,-13.0,-49.77
248,16.55,-76.9,-13.09,-56.27
249,16.55,-76.9,-13.09,-56.27
250,16.55,-76.9,-13.09,-56.27
251,16.55,-76.9,-13.09,-56.27
252,16.55,-76.9,-13.09,-56.27
253,16.55,-76.9,-13.09,-56.27
254,16.55,-76.9,-13.09,-56.27
255,16.55,-76.9,-13.09,-56.27
256,8.64,-84.9,-13.95,-63.36
257,8.64,-84.9,-13.95,-63.36
258,8.64,-84.9,-13.95,-63.36
259,8.64,-84.9,-13.95,-63.36
260,8.64,-84.9,-13.95,-63.36
261,8.64,-84.9,-13.95,-63.36
262,8.64,-84.9,-13.95,-63.36
263,8.64,-84.9,-13.95,-63.36
264,3.95,-90.9,-20.43,-65.96
265,22.26,-64.96,-12.96,-43.54
266,22.26,-64.96,-12.96,-43.54
267,22.26,-64.96,-12.96,-43.54
268,22.26,-64.96,-12.96,-43.54
269,22.26,-64.96,-12.96,-43.54
270,22.26,-64.96,-12.96,-43.54
271,22.26,-64.96,-12.96,-43.54
272,23.97,-67.44,-13.11,-45.87
273,23.97,-67.44,-13.11,-45.87
274,23.97,-67.44,-13.11,-45.87
275,23.97,-67.44,-13.11,-45.87
276,23.97,-67.44,-13.11,-45.87
277,23.97,-67.44,-13.11,-45.87
278,23.97,-67.44,-13.11,-45.87
279,23.97,-67.44,-13.11,-45.87
280,19.98,-67.37,-12.92,-46.37
281,19.98,-67.37,-12.92,-46.37
282,19.98,-67.37,-12.92,-46.37
283,19.98,-67.37,-12.92,-46.37
284,19.98,-67.37,-12.92,-46.37
285,19.98,-67.37,-12.92,-46.37
286,19.98,-67.37,-12.92,-46.37
287,19.98,-67.37,-12.92,-46.37
288,23.35,-66.4,-12.99,-45.87
289,23.35,-66.4,-12.99,-45.87
290,23.35,-66.4,-12.99,-45.87
291,23.35,-66.4,-12.99,-45.87
292,23.35,-66.4,-12.99,-45.87
293,23.35,-66.4,-12.99,-45.87
294,23.35,-66.4,-12.99,-45.87
295,23.35,-66.4,-12.99,-45.87
296,22.67,-68.73,-12.99,-47.82
297,22.67,-68.73,-12.99,-47.82
298,22.67,-68.73,-12.99,-47.82
